iter	RMSE
0	10.4652796
1	10.33380691
2	10.21593759
3	10.09977052
4	9.982957011
5	9.873998973
6	9.770365193
7	9.669413322
8	9.57286411
9	9.48687718
10	9.406124877
11	9.328301151
12	9.248783659
13	9.179819499
14	9.111809655
15	9.046016712
16	8.983985009
17	8.924389528
18	8.871466722
19	8.817612205
20	8.768015435
21	8.72454377
22	8.678144559
23	8.636525629
24	8.597326018
25	8.560365954
26	8.523739727
27	8.488072796
28	8.457471068
29	8.427728562
30	8.399624174
31	8.371859757
32	8.347679805
33	8.323205263
34	8.300552813
35	8.279690634
36	8.257444019
37	8.239059101
38	8.219078643
39	8.202641439
40	8.188070402
41	8.170220241
42	8.154362272
43	8.13953483
44	8.127012935
45	8.114677755
46	8.101347548
47	8.089706368
48	8.080221597
49	8.0684982
50	8.0598946
51	8.051799969
52	8.043687042
53	8.035956548
54	8.026312507
55	8.018938037
56	8.012850633
57	8.004580096
58	7.998632182
59	7.987027653
60	7.981359192
61	7.976393669
62	7.971966583
63	7.9674941
64	7.96251758
65	7.955269083
66	7.950788983
67	7.947226416
68	7.942142815
69	7.938706334
70	7.935605214
71	7.932445928
72	7.929696161
73	7.926192555
74	7.923376765
75	7.919022925
76	7.916169936
77	7.913455528
78	7.91015313
79	7.908730494
80	7.906043494
81	7.903444257
82	7.899717775
83	7.895160019
84	7.891968149
85	7.884107706
86	7.881717567
87	7.879022587
88	7.877172356
89	7.87517804
90	7.873925245
91	7.870773572
92	7.864047565
93	7.861524601
94	7.860294681
95	7.857250916
96	7.854444781
97	7.850803353
98	7.845900811
99	7.84403468
100	7.842051547
101	7.839202535
102	7.836614173
103	7.834231771
104	7.831475839
105	7.828848938
106	7.827481766
107	7.826381199
108	7.823094355
109	7.821594048
110	7.819212722
111	7.817518499
112	7.816754429
113	7.809590593
114	7.808706241
115	7.808168807
116	7.806770327
117	7.806088851
118	7.804529879
119	7.801920895
120	7.798094029
121	7.796449405
122	7.794568554
123	7.793632814
124	7.793140838
125	7.792571937
126	7.792041107
127	7.789951118
128	7.782770638
129	7.780496729
130	7.780212239
131	7.779426445
132	7.778148601
133	7.777228628
134	7.776193746
135	7.769402945
136	7.768152396
137	7.76773546
138	7.766269605
139	7.764783224
140	7.762824436
141	7.761135997
142	7.756428888
143	7.756132268
144	7.753278905
145	7.75241205
146	7.751652176
147	7.749615498
148	7.748361987
149	7.747605881
150	7.741009356
151	7.735180926
152	7.733849595
153	7.732727644
154	7.731957004
155	7.728793185
156	7.727690958
157	7.726644644
158	7.725854141
159	7.72469001
160	7.723834454
161	7.722458145
162	7.721711958
163	7.720671308
164	7.718787359
165	7.718025703
166	7.717536854
167	7.716511799
168	7.715838732
169	7.714064785
170	7.713276912
171	7.712108348
172	7.711583157
173	7.711185753
174	7.710243562
175	7.709222559
176	7.708389467
177	7.704328903
178	7.703353999
179	7.702667585
180	7.701319532
181	7.697522418
182	7.695788894
183	7.694269944
184	7.692887589
185	7.691502081
186	7.689550186
187	7.688722403
188	7.687315637
189	7.686227124
190	7.685362386
191	7.683964916
192	7.680032981
193	7.679225976
194	7.678143297
195	7.676975997
196	7.670346574
197	7.669967379
198	7.668510896
199	7.6679787
200	7.666982659
201	7.664509691
202	7.66367188
203	7.658442933
204	7.653535607
205	7.652528916
206	7.647477384
207	7.645033693
208	7.643837673
209	7.639572553
210	7.63855368
211	7.637649292
212	7.636958718
213	7.636060766
214	7.634639067
215	7.633749041
216	7.632547107
217	7.631665653
218	7.629976918
219	7.628909725
220	7.623859112
221	7.622333049
222	7.621434852
223	7.620282975
224	7.619781415
225	7.618157529
226	7.616771829
227	7.613200015
228	7.612312947
229	7.610919356
230	7.608464397
231	7.606179348
232	7.604687748
233	7.604417898
234	7.602799213
235	7.600281903
236	7.599405211
237	7.598779343
238	7.596512823
239	7.595464723
240	7.594942675
241	7.59397517
242	7.592756201
243	7.587860378
244	7.58673678
245	7.585891652
246	7.579527711
247	7.578227624
248	7.576925607
249	7.576110745
250	7.575274939
251	7.574470278
252	7.573233665
253	7.571521042
254	7.569280385
255	7.568721931
256	7.567983128
257	7.566113183
