iter	Passed	Remaining
0	1	1303
1	2	1372
2	4	1331
3	5	1343
4	6	1338
5	8	1351
6	9	1367
7	11	1365
8	12	1361
9	13	1360
10	15	1364
11	16	1332
12	17	1335
13	18	1336
14	20	1337
15	21	1337
16	23	1341
17	24	1339
18	25	1337
19	27	1334
20	28	1333
21	29	1330
22	31	1327
23	32	1323
24	33	1319
25	35	1316
26	36	1319
27	37	1315
28	39	1310
29	40	1309
30	41	1307
31	43	1305
32	44	1303
33	45	1300
34	47	1297
35	48	1297
36	49	1285
37	50	1283
38	52	1281
39	53	1282
40	54	1282
41	56	1279
42	57	1276
43	58	1275
44	60	1275
45	61	1275
46	63	1277
47	64	1275
48	65	1277
49	67	1277
50	68	1277
51	70	1276
52	71	1276
53	72	1275
54	74	1277
55	75	1278
56	77	1281
57	78	1280
58	80	1279
59	81	1279
60	83	1278
61	84	1276
62	85	1276
63	87	1276
64	88	1276
65	90	1276
66	91	1276
67	93	1274
68	94	1273
69	95	1271
70	97	1271
71	98	1270
72	99	1269
73	101	1270
74	102	1269
75	104	1268
76	105	1268
77	106	1261
78	108	1261
79	108	1251
80	110	1250
81	111	1248
82	112	1247
83	114	1247
84	115	1246
85	117	1244
86	118	1243
87	119	1242
88	120	1237
89	122	1236
90	123	1234
91	124	1233
92	126	1231
93	127	1230
94	128	1228
95	130	1226
96	131	1225
97	132	1223
98	134	1222
99	135	1221
100	137	1221
101	138	1221
102	140	1219
103	141	1219
104	142	1218
105	144	1216
106	145	1215
107	146	1209
108	147	1208
109	149	1207
110	150	1205
111	152	1205
112	153	1203
113	154	1202
114	156	1201
115	157	1200
116	158	1198
117	160	1197
118	162	1199
119	163	1199
120	164	1198
121	166	1197
122	167	1197
123	169	1196
124	171	1198
125	172	1196
126	173	1195
127	175	1194
128	176	1193
129	178	1191
130	179	1190
131	180	1189
132	182	1187
133	183	1186
134	184	1185
135	186	1183
136	187	1182
137	189	1181
138	190	1180
139	191	1179
140	193	1177
141	194	1177
142	196	1176
143	197	1174
144	199	1173
145	200	1172
146	201	1170
147	203	1169
148	204	1168
149	205	1166
150	207	1165
151	208	1164
152	210	1163
153	211	1163
154	213	1162
155	214	1162
156	216	1161
157	217	1159
158	219	1158
159	220	1157
160	221	1156
161	223	1154
162	224	1153
163	226	1152
164	227	1151
165	229	1150
166	229	1146
167	231	1145
168	232	1144
169	234	1142
170	235	1141
171	236	1139
172	238	1138
173	239	1138
174	241	1137
175	242	1135
176	244	1135
177	245	1133
178	246	1132
179	248	1130
180	249	1129
181	251	1128
182	252	1127
183	253	1126
184	255	1124
185	256	1122
186	257	1121
187	259	1120
188	260	1118
189	262	1117
190	263	1115
191	264	1114
192	266	1112
193	267	1111
194	268	1109
195	270	1108
196	271	1106
197	272	1105
198	274	1103
199	275	1102
200	276	1100
201	278	1099
202	279	1098
203	281	1096
204	282	1095
205	283	1093
206	284	1091
207	286	1090
208	287	1088
209	288	1086
210	290	1084
211	291	1082
212	292	1080
213	293	1079
214	295	1077
215	296	1075
216	297	1073
217	298	1072
218	300	1071
219	301	1069
220	303	1068
221	304	1066
222	305	1065
223	307	1064
224	308	1062
225	309	1060
226	311	1059
227	312	1057
228	313	1056
229	315	1055
230	316	1053
231	317	1051
232	318	1049
233	319	1046
234	321	1045
235	322	1043
236	323	1042
237	325	1041
238	326	1041
239	328	1040
240	330	1039
241	331	1038
242	333	1037
243	334	1036
244	335	1034
245	337	1033
246	338	1032
247	340	1031
248	341	1029
249	342	1028
250	344	1027
251	345	1026
252	347	1024
253	348	1023
254	349	1022
255	351	1020
256	352	1018
257	353	1016
258	354	1015
259	356	1014
260	357	1012
261	359	1011
262	360	1010
263	361	1008
264	363	1007
265	364	1005
266	365	1003
267	367	1002
268	368	1000
269	369	999
270	371	998
271	372	996
272	373	995
273	375	993
274	376	992
275	377	990
276	379	989
277	380	988
278	381	986
279	383	985
280	384	983
281	385	982
282	387	980
283	388	979
284	389	978
285	391	977
286	392	975
287	394	974
288	395	972
289	396	971
290	398	970
291	399	968
292	400	967
293	402	965
294	403	964
295	404	963
296	406	961
297	407	960
298	408	958
299	410	957
300	411	956
301	412	954
302	414	953
303	415	951
304	417	950
305	418	948
306	419	947
307	421	946
308	422	944
309	423	943
310	425	942
311	426	940
312	428	939
313	429	938
314	430	936
315	432	935
316	433	934
317	434	932
318	436	931
319	437	929
320	438	928
321	440	927
322	441	925
323	442	924
324	444	922
325	445	921
326	446	919
327	448	918
328	449	917
329	451	915
330	452	914
331	453	913
332	455	911
333	456	910
334	457	908
335	459	907
336	460	906
337	462	904
338	463	903
339	464	902
340	466	901
341	467	900
342	469	899
343	470	897
344	472	896
345	473	895
346	475	894
347	476	893
348	478	892
349	479	891
350	481	889
351	482	888
352	484	887
353	485	886
354	487	885
355	488	883
356	489	882
357	491	880
358	492	879
359	494	878
360	495	877
361	497	876
362	498	874
363	499	873
364	501	871
365	502	870
366	503	869
367	505	867
368	506	866
369	508	864
370	509	863
371	510	862
372	512	861
373	513	859
374	515	858
375	516	857
376	517	855
377	519	854
378	520	853
379	521	851
380	523	850
381	524	848
382	526	847
383	527	846
384	528	844
385	530	843
386	531	841
387	532	840
388	534	839
389	535	837
390	537	836
391	538	835
392	539	833
393	541	832
394	542	830
395	543	829
396	545	828
397	546	827
398	548	825
399	549	824
400	550	822
401	552	821
402	553	820
403	554	818
404	556	817
405	557	816
406	559	814
407	560	813
408	562	812
409	563	811
410	564	809
411	566	808
412	567	806
413	569	805
414	570	804
415	571	802
416	573	801
417	574	800
418	575	798
419	577	797
420	578	795
421	579	794
422	581	793
423	582	791
424	584	790
425	585	788
426	586	787
427	588	786
428	589	784
429	590	783
430	592	781
431	593	780
432	594	779
433	596	777
434	597	776
435	599	775
436	600	773
437	602	772
438	603	771
439	605	770
440	606	768
441	607	767
442	609	765
443	610	764
444	611	763
445	613	761
446	614	760
447	616	759
448	617	758
449	619	756
450	620	755
451	621	754
452	623	752
453	624	751
454	626	750
455	627	748
456	628	747
457	630	746
458	631	744
459	633	743
460	634	742
461	636	740
462	637	739
463	638	738
464	640	736
465	641	735
466	643	734
467	644	732
468	646	731
469	647	730
470	648	728
471	650	727
472	651	725
473	652	724
474	654	723
475	655	721
476	656	720
477	658	718
478	659	717
479	661	716
480	662	714
481	663	713
482	665	712
483	666	710
484	668	709
485	669	707
486	670	706
487	672	705
488	673	703
489	675	702
490	676	701
491	677	699
492	678	698
493	680	696
494	681	695
495	683	694
496	684	692
497	685	691
498	686	689
499	688	688
500	689	686
501	691	685
502	692	684
503	693	682
504	695	681
505	696	680
506	698	679
507	700	678
508	701	676
509	703	675
510	704	674
511	705	672
512	707	671
513	708	670
514	710	668
515	711	667
516	713	666
517	714	665
518	716	663
519	717	662
520	718	660
521	719	659
522	721	657
523	722	656
524	724	655
525	725	653
526	727	652
527	728	651
528	729	649
529	731	648
530	732	646
531	733	645
532	735	644
533	736	642
534	737	641
535	739	639
536	740	638
537	741	637
538	743	635
539	744	634
540	746	633
541	747	631
542	748	630
543	749	628
544	751	627
545	752	625
546	754	624
547	755	623
548	756	621
549	758	620
550	759	619
551	761	617
552	762	616
553	763	614
554	765	613
555	766	612
556	767	610
557	769	609
558	770	608
559	772	606
560	773	605
561	775	604
562	776	602
563	777	601
564	779	599
565	780	598
566	782	597
567	783	596
568	785	594
569	786	593
570	788	592
571	789	590
572	791	589
573	792	588
574	793	586
575	795	585
576	796	583
577	797	582
578	799	581
579	800	579
580	802	578
581	803	577
582	804	575
583	806	574
584	807	572
585	808	571
586	810	570
587	811	568
588	813	567
589	814	565
590	815	564
591	817	563
592	818	561
593	819	560
594	821	558
595	822	557
596	823	556
597	825	554
598	826	553
599	827	551
600	829	550
601	830	549
602	832	547
603	833	546
604	834	544
605	835	543
606	837	542
607	838	540
608	840	539
609	841	538
610	842	536
611	844	535
612	845	534
613	847	532
614	848	531
615	849	529
616	851	528
617	852	527
618	853	525
619	855	524
620	856	522
621	858	521
622	859	520
623	860	518
624	862	517
625	863	515
626	864	514
627	866	513
628	867	511
629	868	510
630	870	508
631	871	507
632	873	506
633	874	504
634	875	503
635	877	502
636	878	500
637	879	499
638	881	497
639	882	496
640	884	495
641	885	493
642	886	492
643	888	491
644	889	489
645	891	488
646	892	486
647	893	485
648	895	484
649	896	482
650	898	481
651	899	480
652	901	478
653	902	477
654	903	476
655	905	474
656	906	473
657	908	472
658	909	470
659	911	469
660	912	467
661	913	466
662	915	465
663	916	463
664	918	462
665	919	461
666	921	459
667	922	458
668	923	457
669	925	455
670	926	454
671	928	453
672	929	451
673	931	450
674	932	449
675	934	447
676	935	446
677	937	445
678	938	443
679	939	442
680	941	440
681	942	439
682	944	438
683	946	437
684	947	435
685	949	434
686	951	433
687	952	431
688	953	430
689	955	429
690	956	427
691	957	426
692	959	425
693	960	423
694	962	422
695	963	421
696	965	419
697	966	418
698	968	416
699	969	415
700	971	414
701	972	413
702	974	411
703	975	410
704	977	408
705	978	407
706	980	406
707	981	404
708	983	403
709	984	402
710	986	400
711	987	399
712	989	398
713	991	396
714	992	395
715	994	394
716	995	393
717	997	391
718	999	390
719	1000	389
720	1002	387
721	1003	386
722	1005	385
723	1007	383
724	1008	382
725	1010	381
726	1011	379
727	1013	378
728	1014	377
729	1016	375
730	1018	374
731	1019	373
732	1021	371
733	1022	370
734	1024	369
735	1025	367
736	1027	366
737	1029	365
738	1030	364
739	1032	362
740	1033	361
741	1035	359
742	1036	358
743	1037	357
744	1039	355
745	1040	354
746	1042	352
747	1043	351
748	1044	350
749	1046	348
750	1048	347
751	1049	346
752	1051	344
753	1052	343
754	1053	341
755	1055	340
756	1056	339
757	1058	337
758	1059	336
759	1061	335
760	1062	333
761	1064	332
762	1065	331
763	1067	329
764	1068	328
765	1069	326
766	1071	325
767	1073	324
768	1074	322
769	1076	321
770	1077	320
771	1079	318
772	1080	317
773	1082	316
774	1083	314
775	1085	313
776	1086	311
777	1088	310
778	1089	309
779	1091	307
780	1092	306
781	1094	305
782	1095	303
783	1097	302
784	1098	300
785	1099	299
786	1101	298
787	1102	296
788	1104	295
789	1106	294
790	1107	292
791	1109	291
792	1110	289
793	1112	288
794	1114	287
795	1115	285
796	1117	284
797	1118	283
798	1120	281
799	1121	280
800	1123	279
801	1124	277
802	1126	276
803	1127	274
804	1129	273
805	1130	272
806	1132	270
807	1133	269
808	1135	268
809	1137	266
810	1138	265
811	1140	263
812	1141	262
813	1143	261
814	1144	259
815	1146	258
816	1147	257
817	1149	255
818	1150	254
819	1151	252
820	1153	251
821	1155	250
822	1156	248
823	1158	247
824	1160	246
825	1161	244
826	1163	243
827	1164	241
828	1166	240
829	1167	239
830	1169	237
831	1170	236
832	1172	235
833	1173	233
834	1175	232
835	1176	230
836	1178	229
837	1179	228
838	1181	226
839	1182	225
840	1184	223
841	1185	222
842	1187	221
843	1188	219
844	1190	218
845	1191	216
846	1193	215
847	1194	214
848	1196	212
849	1197	211
850	1199	209
851	1200	208
852	1202	207
853	1203	205
854	1205	204
855	1206	202
856	1208	201
857	1209	200
858	1210	198
859	1212	197
860	1213	195
861	1215	194
862	1216	193
863	1217	191
864	1219	190
865	1220	188
866	1222	187
867	1224	186
868	1225	184
869	1226	183
870	1228	181
871	1229	180
872	1231	179
873	1232	177
874	1234	176
875	1235	174
876	1237	173
877	1238	172
878	1240	170
879	1241	169
880	1242	167
881	1244	166
882	1245	165
883	1247	163
884	1248	162
885	1250	160
886	1251	159
887	1253	158
888	1254	156
889	1256	155
890	1257	153
891	1258	152
892	1260	151
893	1261	149
894	1263	148
895	1264	146
896	1266	145
897	1268	144
898	1270	142
899	1271	141
900	1273	139
901	1274	138
902	1276	137
903	1277	135
904	1279	134
905	1280	132
906	1282	131
907	1283	130
908	1284	128
909	1286	127
910	1287	125
911	1289	124
912	1290	122
913	1292	121
914	1293	120
915	1295	118
916	1296	117
917	1297	115
918	1299	114
919	1300	113
920	1302	111
921	1303	110
922	1305	108
923	1306	107
924	1308	106
925	1309	104
926	1310	103
927	1312	101
928	1313	100
929	1315	99
930	1316	97
931	1318	96
932	1319	94
933	1321	93
934	1322	91
935	1324	90
936	1325	89
937	1327	87
938	1328	86
939	1330	84
940	1331	83
941	1333	82
942	1334	80
943	1336	79
944	1337	77
945	1339	76
946	1340	75
947	1342	73
948	1343	72
949	1345	70
950	1346	69
951	1348	67
952	1349	66
