iter	Passed	Remaining
0	178	178516
1	199	99586
2	222	73825
3	242	60398
4	264	52631
5	285	47270
6	306	43450
7	328	40685
8	349	38471
9	370	36700
10	388	34961
11	410	33780
12	431	32733
13	451	31831
14	473	31109
15	495	30463
16	517	29907
17	538	29362
18	561	28966
19	581	28517
20	602	28107
21	623	27721
22	645	27437
23	666	27121
24	687	26808
25	708	26553
26	729	26293
27	750	26066
28	771	25846
29	792	25635
30	813	25425
31	834	25246
32	855	25058
33	877	24918
34	897	24754
35	918	24591
36	940	24483
37	964	24404
38	985	24285
39	1008	24206
40	1028	24060
41	1047	23894
42	1066	23734
43	1088	23650
44	1107	23505
45	1123	23291
46	1140	23134
47	1158	22977
48	1173	22770
49	1188	22584
50	1204	22406
51	1217	22192
52	1231	22006
53	1246	21830
54	1264	21718
55	1278	21548
56	1292	21383
57	1307	21231
58	1321	21081
59	1338	20964
60	1356	20879
61	1371	20747
62	1386	20621
63	1400	20481
64	1415	20354
65	1429	20225
66	1444	20115
67	1459	20009
68	1475	19903
69	1490	19801
70	1506	19710
71	1522	19621
72	1538	19537
73	1553	19437
74	1568	19340
75	1583	19248
76	1597	19154
77	1612	19058
78	1628	18982
79	1642	18891
80	1657	18806
81	1672	18726
82	1688	18652
83	1702	18569
84	1718	18496
85	1733	18419
86	1750	18365
87	1766	18309
88	1783	18258
89	1801	18213
90	1818	18163
91	1835	18115
92	1853	18074
93	1872	18050
94	1891	18019
95	1910	17992
96	1929	17965
97	1949	17942
98	1968	17918
99	1986	17879
100	2004	17841
101	2023	17811
102	2040	17772
103	2058	17738
104	2079	17721
105	2092	17650
106	2106	17578
107	2120	17513
108	2135	17457
109	2152	17414
110	2167	17359
111	2181	17298
112	2197	17247
113	2211	17189
114	2227	17138
115	2241	17078
116	2255	17018
117	2269	16962
118	2286	16931
119	2303	16893
120	2324	16888
121	2342	16860
122	2362	16843
123	2379	16811
124	2397	16783
125	2415	16753
126	2433	16728
127	2458	16750
128	2498	16870
129	2517	16850
130	2536	16826
131	2556	16807
132	2574	16782
133	2593	16763
134	2614	16752
135	2636	16752
136	2655	16724
137	2675	16711
138	2693	16681
139	2710	16652
140	2729	16628
141	2747	16599
142	2765	16572
143	2782	16542
144	2800	16512
145	2819	16491
146	2837	16463
147	2853	16428
148	2870	16396
149	2887	16364
150	2905	16335
151	2924	16314
152	2942	16288
153	2959	16259
154	2977	16234
155	2997	16216
156	3014	16188
157	3032	16160
158	3048	16123
159	3065	16093
160	3081	16056
161	3095	16010
162	3109	15966
163	3124	15925
164	3138	15883
165	3154	15846
166	3169	15812
167	3185	15774
168	3200	15737
169	3216	15703
170	3229	15657
171	3243	15613
172	3258	15574
173	3272	15533
174	3286	15493
175	3301	15457
176	3317	15423
177	3331	15383
178	3344	15340
179	3358	15300
180	3374	15266
181	3388	15229
182	3404	15197
183	3418	15159
184	3434	15129
185	3449	15096
186	3465	15064
187	3479	15029
188	3493	14989
189	3507	14953
190	3522	14919
191	3536	14881
192	3550	14847
193	3566	14815
194	3580	14782
195	3595	14747
196	3609	14714
197	3623	14677
198	3638	14644
199	3656	14624
200	3673	14604
201	3692	14587
202	3711	14572
203	3729	14552
204	3748	14536
205	3765	14515
206	3780	14483
207	3795	14453
208	3810	14420
209	3823	14385
210	3837	14350
211	3852	14319
212	3867	14288
213	3882	14258
214	3898	14234
215	3914	14207
216	3929	14180
217	3944	14149
218	3958	14116
219	3972	14085
220	3986	14052
221	4000	14021
222	4015	13992
223	4030	13963
224	4047	13941
225	4061	13909
226	4076	13883
227	4092	13858
228	4107	13828
229	4121	13798
230	4135	13766
231	4149	13734
232	4164	13709
233	4178	13679
234	4193	13651
235	4207	13621
236	4221	13590
237	4234	13557
238	4248	13528
239	4263	13501
240	4277	13472
241	4292	13445
242	4308	13420
243	4323	13396
244	4338	13370
245	4352	13342
246	4366	13311
247	4380	13283
248	4394	13254
249	4409	13228
250	4425	13206
251	4441	13184
252	4457	13161
253	4473	13137
254	4488	13113
255	4503	13088
256	4518	13064
257	4533	13038
258	4547	13010
259	4562	12985
260	4576	12957
261	4590	12931
262	4606	12909
263	4621	12884
264	4635	12857
265	4649	12829
266	4663	12803
267	4677	12774
268	4691	12749
269	4705	12722
270	4720	12697
271	4734	12672
272	4749	12648
273	4763	12621
274	4778	12597
275	4792	12571
276	4807	12548
277	4822	12524
278	4836	12498
279	4850	12473
280	4865	12448
281	4879	12424
282	4896	12405
283	4911	12381
284	4925	12358
285	4939	12332
286	4954	12307
287	4967	12281
288	4981	12255
289	4997	12234
290	5012	12213
291	5027	12188
292	5041	12164
293	5054	12137
294	5068	12113
295	5082	12088
296	5096	12062
297	5110	12039
298	5125	12016
299	5140	11993
300	5153	11967
301	5167	11943
302	5181	11918
303	5194	11893
304	5209	11869
305	5223	11845
306	5237	11822
307	5250	11796
308	5264	11771
309	5278	11749
310	5293	11726
311	5308	11705
312	5322	11683
313	5337	11661
314	5352	11640
315	5367	11619
316	5382	11596
317	5396	11574
318	5411	11552
319	5426	11531
320	5440	11508
321	5455	11488
322	5470	11465
323	5484	11442
324	5497	11417
325	5511	11394
326	5525	11372
327	5539	11349
328	5554	11327
329	5568	11304
330	5582	11284
331	5597	11261
332	5611	11238
333	5624	11215
334	5638	11193
335	5652	11171
336	5667	11149
337	5681	11127
338	5694	11104
339	5709	11083
340	5723	11061
341	5737	11039
342	5752	11017
343	5766	10996
344	5780	10974
345	5793	10950
346	5806	10927
347	5821	10907
348	5835	10884
349	5849	10864
350	5864	10842
351	5879	10823
352	5893	10802
353	5906	10779
354	5920	10757
355	5934	10735
356	5948	10714
357	5962	10693
358	5976	10671
359	5989	10648
360	6004	10628
361	6018	10607
362	6032	10586
363	6046	10565
364	6061	10544
365	6074	10522
366	6087	10500
367	6104	10483
368	6118	10462
369	6132	10441
370	6147	10422
371	6161	10401
372	6175	10381
373	6188	10359
374	6202	10337
375	6216	10316
376	6230	10296
377	6245	10277
378	6261	10258
379	6276	10240
380	6290	10219
381	6304	10198
382	6318	10178
383	6333	10159
384	6347	10139
385	6362	10120
386	6377	10101
387	6392	10083
388	6408	10065
389	6423	10047
390	6438	10027
391	6451	10006
392	6465	9985
393	6478	9964
394	6493	9945
395	6507	9925
396	6521	9905
397	6534	9884
398	6548	9864
399	6562	9843
400	6577	9825
401	6591	9805
402	6606	9786
403	6620	9766
404	6633	9745
405	6647	9725
406	6661	9705
407	6675	9685
408	6689	9666
409	6703	9647
410	6719	9630
411	6732	9609
412	6746	9588
413	6759	9568
414	6774	9549
415	6788	9529
416	6804	9513
417	6818	9494
418	6832	9474
